ID,DOSE,TIME,CONC,CPT
8,90,0,0,Fat
8,90,0.25,32.18256,Fat
8,90,0.5,1893.092,Fat
8,90,1,3665.714,Fat
8,90,2,242.66,Fat
8,90,4,102.7433,Fat
8,90,8,168.3131,Fat
8,90,12,106.0131,Fat
8,90,16,16.53874,Fat
8,90,0,0,Heart
8,90,0.25,4164.802,Heart
8,90,0.5,1665.921,Heart
8,90,1,30461.57,Heart
8,90,2,943.104,Heart
8,90,4,12924.66,Heart
8,90,8,1564.382,Heart
8,90,12,285.6848,Heart
8,90,16,545.5547,Heart
8,90,0,0,Intestine
8,90,0.25,79681.96,Intestine
8,90,0.5,14748.91,Intestine
8,90,1,138712,Intestine
8,90,2,2443.81,Intestine
8,90,4,37001.34,Intestine
8,90,8,5300.657,Intestine
8,90,12,1097.993,Intestine
8,90,16,5782.535,Intestine
8,90,0,0,Kidney
8,90,0.25,8794.272,Kidney
8,90,0.5,3975.493,Kidney
8,90,1,63848.83,Kidney
8,90,2,6023.474,Kidney
8,90,4,48359.89,Kidney
8,90,8,10790.62,Kidney
8,90,12,2581.489,Kidney
8,90,16,7038.86,Kidney
8,90,0,0,Liver
8,90,0.25,32870.96,Liver
8,90,0.5,7142.12,Liver
8,90,1,120297.4,Liver
8,90,2,3889.443,Liver
8,90,4,55243.86,Liver
8,90,8,9534.3,Liver
8,90,12,1738.203,Liver
8,90,16,6040.684,Liver
8,90,0,0,Lung
8,90,0.25,11616.7,Lung
8,90,0.5,7985.406,Lung
8,90,1,165387.4,Lung
8,90,2,12408.36,Lung
8,90,4,139744.6,Lung
8,90,8,37001.34,Lung
8,90,12,3269.886,Lung
8,90,16,12752.56,Lung
8,90,0,0,Muscle
8,90,0.25,710.77,Muscle
8,90,0.5,296.0107,Muscle
8,90,1,8398.444,Muscle
8,90,2,211.6821,Muscle
8,90,4,5421.127,Muscle
8,90,8,1371.631,Muscle
8,90,12,81.23085,Muscle
8,90,16,259.8699,Muscle
8,90,0,0,Plasma
8,90,0.25,3820.604,Plasma
8,90,0.5,1337.211,Plasma
